,¨K¨K,¨K¨J,¨K¡ú,¨J¨K,¨J¨J,¨J¡ú,¡ú¨K,¡ú¨J,¡ú¡ú 
3402,Ptpn6,,,Olr802,,,,,
3403,Ptpn9,,,Olr803,,,,,
3404,Ptprc,,,Olr932,,,,,
3405,Ptpre,,,Olr937,,,,,
3406,Ptprf,,,Opcml,,,,,
3407,Ptprj,,,Ophn1,,,,,
3408,Ptpro,,,Opn4,,,,,
3409,Ptprs,,,Oprk1,,,,,
3410,Ptrf,,,Oprl1,,,,,
3411,Ptrhd1,,,Orai2,,,,,
3412,Pttg1,,,Orc1,,,,,
3413,Puf60,,,Orc3,,,,,
3414,Pum2,,,Orc5,,,,,
3415,Pus3,,,Ormdl2,,,,,
3416,Pus7l,,,Ormdl3,,,,,
3417,Pvalb,,,Osbpl3,,,,,
3418,Pwwp2a,,,Osbpl7,,,,,
3419,Pxk,,,Oser1,,,,,
3420,Pxt1,,,Ostc,,,,,
3421,Pycrl,,,Ostm1,,,,,
3422,Pygo1,,,Otc,,,,,
3423,Pygo2,,,Otog,,,,,
3424,Pyroxd2,,,Otor,,,,,
3425,Pyurf,,,Otub2,,,,,
3426,Qrich1,,,Otud4,,,,,
3427,Qrsl1,,,Otud7b,,,,,
3428,Qser1,,,Ovch2,,,,,
3429,Qtrt1,,,Ovol1,,,,,
3430,Qtrt2,,,Ovol3,,,,,
3431,R3hdml,,,Oxld1,,,,,
3432,RGD1303003,,,Oxnad1,,,,,
3433,RGD1304567,,,Oxsm,,,,,
3434,RGD1304622,,,P2rx1,,,,,
3435,RGD1304624,,,P2rx5,,,,,
3436,RGD1304694,,,P2rx6,,,,,
3437,RGD1305110,,,P2ry1,,,,,
3438,RGD1305178,,,P4ha1,,,,,
3439,RGD1305184,,,P4hb,,,,,
3440,RGD1305298,,,Pabpc6,,,,,
3441,RGD1305464,,,Pacsin1,,,,,
3442,RGD1305807,,,Pacsin2,,,,,
3443,RGD1305938,,,Pacsin3,,,,,
3444,RGD1306063,,,Pag1,,,,,
3445,RGD1306072,,,Pak1,,,,,
3446,RGD1306227,,,Pald1,,,,,
3447,RGD1306474,,,Pamr1,,,,,
3448,RGD1306746,,,Pan2,,,,,
3449,RGD1306782,,,Pank2,,,,,
3450,RGD1307235,,,Paox,,,,,
3451,RGD1307554,,,Papd4,,,,,
3452,RGD1307621,,,Papss2,,,,,
3453,RGD1307929,,,Paqr3,,,,,
3454,RGD1308750,,,Paqr8,,,,,
3455,RGD1309106,,,Pard6a,,,,,
3456,RGD1309362,,,Pard6b,,,,,
3457,RGD1309540,,,Pard6g,,,,,
3458,RGD1309594,,,Parm1,,,,,
3459,RGD1309730,,,Parp11,,,,,
3460,RGD1309808,,,Parp6,,,,,
3461,RGD1309995,,,Parp8,,,,,
3462,RGD1310212,,,Patl2,,,,,
3463,RGD1310257,,,Patz1,,,,,
3464,RGD1310495,,,Pbrm1,,,,,
3465,RGD1310553,,,Pbx1,,,,,
3466,RGD1310587,,,Pcbd1,,,,,
3467,RGD1310852,,,Pcdh10,,,,,
3468,RGD1310951,,,Pcdh11x,,,,,
3469,RGD1311703,,,Pcdh15,,,,,
3470,RGD1311756,,,Pcdh18,,,,,
3471,RGD1311847,,,Pcdhb10,,,,,
3472,RGD1359158,,,Pcdhb11,,,,,
3473,RGD1359290,,,Pcdhb12,,,,,
3474,RGD1559482,,,Pcdhb19,,,,,
3475,RGD1559708,,,Pcdhb2,,,,,
3476,RGD1559821,,,Pcdhb22,,,,,
3477,RGD1559877,,,Pcdhb3,,,,,
3478,RGD1559896,,,Pcdhb6,,,,,
3479,RGD1559955,,,Pcdhb7,,,,,
3480,RGD1559972,,,Pcdhb8,,,,,
3481,RGD1560017,,,Pcdhga1,,,,,
3482,RGD1560108,,,Pcdhga11,,,,,
3483,RGD1560186,,,Pcdhga5,,,,,
3484,RGD1560617,,,Pcdhga9,,,,,
3485,RGD1560687,,,Pcdhgb4,,,,,
3486,RGD1560795,,,Pcdhgb6,,,,,
3487,RGD1560821,,,Pcdhgb8,,,,,
3488,RGD1560831,,,Pcdhgc3,,,,,
3489,RGD1560925,,,Pced1b,,,,,
3490,RGD1561145,,,Pcf11,,,,,
3491,RGD1561161,,,Pck2,,,,,
3492,RGD1561252,,,Pcmtd1,,,,,
3493,RGD1561310,,,Pcnt,,,,,
3494,RGD1561333,,,Pcnx1,,,,,
3495,RGD1561636,,,Pcsk1,,,,,
3496,RGD1561871,,,Pcsk2,,,,,
3497,RGD1562037,,,Pcsk6,,,,,
3498,RGD1562161,,,Pcsk7,,,,,
3499,RGD1562218,,,Pcsk9,,,,,
3500,RGD1562378,,,Pcyox1,,,,,
3501,RGD1562381,,,Pcyox1l,,,,,
3502,RGD1562399,,,Pcyt2,,,,,
3503,RGD1562402,,,Pde1c,,,,,
3504,RGD1562415,,,Pde3a,,,,,
3505,RGD1562420,,,Pde4d,,,,,
3506,RGD1562492,,,Pde4dip,,,,,
3507,RGD1562608,,,Pde7a,,,,,
3508,RGD1562618,,,Pde8b,,,,,
3509,RGD1562725,,,Pde9a,,,,,
3510,RGD1562755,,,Pdgfrb,,,,,
3511,RGD1563124,,,Pdgfrl,,,,,
3512,RGD1563157,,,Pdia3,,,,,
3513,RGD1563294,,,Pdia5,,,,,
3514,RGD1563352,,,Pdia6,,,,,
3515,RGD1563365,,,Pdk3,,,,,
3516,RGD1563570,,,Pdk4,,,,,
3517,RGD1563613,,,Pdlim3,,,,,
3518,RGD1563668,,,Pdlim4,,,,,
3519,RGD1563705,,,Pdlim5,,,,,
3520,RGD1563812,,,Pdpr,,,,,
3521,RGD1563835,,,Pdrg1,,,,,
3522,RGD1564138,,,Pdyn,,,,,
3523,RGD1564149,,,Pdzd7,,,,,
3524,RGD1564243,,,Pear1,,,,,
3525,RGD1564306,,,Peg3,,,,,
3526,RGD1564319,,,Peli2,,,,,
3527,RGD1564325,,,Pelo,,,,,
3528,RGD1564420,,,Pelp1,,,,,
3529,RGD1564469,,,Peo1,,,,,
3530,RGD1564541,,,Per2,,,,,
3531,RGD1564606,,,Perm1,,,,,
3532,RGD1564614,,,Perp,,,,,
3533,RGD1564664,,,Pex10,,,,,
3534,RGD1564698,,,Pex11a,,,,,
3535,RGD1564839,,,Pex12,,,,,
3536,RGD1564855,,,Pex16,,,,,
3537,RGD1564883,,,Pex26,,,,,
3538,RGD1565048,,,Pex7,,,,,
3539,RGD1565170,,,Pfdn2,,,,,
3540,RGD1565183,,,Pfkfb4,,,,,
3541,RGD1565367,,,Pfkm,,,,,
3542,RGD1565415,,,Pgam2,,,,,
3543,RGD1565472,,,Pgap2,,,,,
3544,RGD1565498,,,Pgap3,,,,,
3545,RGD1565566,,,Pgbd5,,,,,
3546,RGD1565641,,,Pgc,,,,,
3547,RGD1565767,,,Pgghg,,,,,
3548,RGD1565894,,,Pglyrp1,,,,,
3549,RGD1566078,,,Pgm1,,,,,
3550,RGD1566085,,,Pgm2l1,,,,,
3551,RGD1566138,,,Pgm5,,,,,
3552,RGD1566189,,,Pgpep1l,,,,,
3553,RGD1566239,,,Phactr2,,,,,
3554,RGD1566320,,,Phactr3,,,,,
3555,RGD1566369,,,Phactr4,,,,,
3556,RGD1597339,,,Phc1,,,,,
3557,RT1-A1,,,Phc3,,,,,
3558,RT1-A2,,,Phex,,,,,
3559,RT1-CE10,,,Phf11,,,,,
3560,RT1-CE16,,,Phf13,,,,,
3561,RT1-CE6,,,Phf19,,,,,
3562,RT1-CE9-ps1,,,Phf2,,,,,
3563,RT1-DMa,,,Phf20,,,,,
3564,RT1-DMb,,,Phf3,,,,,
3565,RT1-M6-1,,,Phf6,,,,,
3566,Rab10,,,Phf7,,,,,
3567,Rab11a,,,Phgdh,,,,,
3568,Rab11b,,,Phka1,,,,,
3569,Rab11fip3,,,Phka2,,,,,
3570,Rab11fip5,,,Phkb,,,,,
3571,Rab12,,,Phlda2,,,,,
3572,Rab14,,,Phldb1,,,,,
3573,Rab1a,,,Phldb3,,,,,
3574,Rab20,,,Phlpp1,,,,,
3575,Rab24,,,Phospho1,,,,,
3576,Rab26,,,Phtf1,,,,,
3577,Rab27a,,,Phyh,,,,,
3578,Rab29,,,Phyhip,,,,,
3579,Rab31,,,Pi4k2b,,,,,
3580,Rab32,,,Pi4ka,,,,,
3581,Rab35,,,Pidd1,,,,,
3582,Rab37,,,Piga,,,,,
3583,Rab43,,,Pigp,,,,,
3584,Rab5c,,,Pigt,,,,,
3585,Rab8b,,,Pigv,,,,,
3586,Rabgap1,,,Pih1d1,,,,,
3587,Rabgef1,,,Pih1d2,,,,,
3588,Rabl2a,,,Pik3c3,,,,,
3589,Rac1,,,Pik3cg,,,,,
3590,Rac2,,,Pik3ip1,,,,,
3591,Racgap1,,,Pik3r3,,,,,
3592,Rack1,,,Pik3r4,,,,,
3593,Rad23b,,,Pikfyve,,,,,
3594,Rad51d,,,Pim3,,,,,
3595,Rae1,,,Pipox,,,,,
3596,Ralb,,,Pitpnm1,,,,,
3597,Ralgapb,,,Pitpnm3,,,,,
3598,Ran,,,Pitrm1,,,,,
3599,Ranbp1,,,Piwil1,,,,,
3600,Ranbp10,,,Pja2,,,,,
3601,Ranbp2,,,Pkdrej,,,,,
3602,Rangap1,,,Pkhd1l1,,,,,
3603,Rangrf,,,Pkmyt1,,,,,
3604,Rap1a,,,Pla2g15,,,,,
3605,Rap1b,,,Pla2g16,,,,,
3606,Rap1gap2,,,Pla2g3,,,,,
3607,Rap1gds1,,,Pla2g4c,,,,,
3608,Rap2b,,,Pla2g6,,,,,
3609,Rapgef5,,,Pla2r1,,,,,
3610,Raph1,,,Plcb1,,,,,
3611,Rapsn,,,Plcd1,,,,,
3612,Rasa2,,,Plcg1,,,,,
3613,Rasgef1b,,,Plcg2,,,,,
3614,Rasl12,,,Plcxd2,,,,,
3615,Rassf3,,,Plcxd3,,,,,
3616,Rassf4,,,Pld1,,,,,
3617,Raver1,,,Pld5,,,,,
3618,Raver2,,,Plek,,,,,
3619,Rbbp4,,,Plekha4,,,,,
3620,Rbbp7,,,Plekha5,,,,,
3621,Rbbp8,,,Plekha7,,,,,
3622,Rbbp8nl,,,Plekhd1,,,,,
3623,Rbfa,,,Plekhg3,,,,,
3624,Rbl2,,,Plekhg4,,,,,
3625,Rbm10,,,Plekhg6,,,,,
3626,Rbm15,,,Plekhh2,,,,,
3627,Rbm20,,,Plekhm2,,,,,
3628,Rbm24,,,Plekhn1,,,,,
3629,Rbm26,,,Plekho1,,,,,
3630,Rbm3,,,Plekhs1,,,,,
3631,Rbm33,,,Plet1,,,,,
3632,Rbm38,,,Plk4,,,,,
3633,Rbm39,,,Plk5,,,,,
3634,Rbm42,,,Plod1,,,,,
3635,Rbm47,,,Plod2,,,,,
3636,Rbm8a,,,Plod3,,,,,
3637,Rbms1,,,Plpp2,,,,,
3638,Rbmx2,,,Plpp4,,,,,
3639,Rbmxl1,,,Plpp5,,,,,
3640,Rbmxl1b,,,Plpp6,,,,,
3641,Rbp7,,,Plppr2,,,,,
3642,Rbpj,,,Plppr3,,,,,
3643,Rbpms2,,,Plscr3,,,,,
3644,Rbx1,,,Plxna3,,,,,
3645,Rc3h1,,,Plxnb3,,,,,
3646,Rc3h2,,,Pmm1,,,,,
3647,Rcbtb1,,,Pmp22,,,,,
3648,Rce1,,,Pms1,,,,,
3649,Rchy1,,,Pnlip,,,,,
3650,Rcl1,,,Pnma2,,,,,
3651,Rcn2,,,Pnmal2,,,,,
3652,Rcvrn,,,Pnpla2,,,,,
3653,Reck,,,Pnpla7,,,,,
3654,Recql5,,,Pnpla8,,,,,
3655,Reep1,,,Pnpo,,,,,
3656,Rela,,,Poc1a,,,,,
3657,Relb,,,Podnl1,,,,,
3658,Reps1,,,Podxl2,,,,,
3659,Rer1,,,Pogk,,,,,
3660,Rev3l,,,Pola1,,,,,
3661,Rexo4,,,Pola2,,,,,
3662,Rft1,,,Polb,,,,,
3663,Rfx1,,,Pole2,,,,,
3664,Rfx2,,,Polh,,,,,
3665,Rfx5,,,Poli,,,,,
3666,Rfx8,,,Polm,,,,,
3667,Rfxap,,,Poln,,,,,
3668,Rfxapl1,,,Polq,,,,,
3669,Rgma,,,Polr1a,,,,,
3670,Rgmb,,,Polr1e,,,,,
3671,Rgs1,,,Polr2b,,,,,
3672,Rgs10,,,Polr2e,,,,,
3673,Rgs14,,,Polr2m,,,,,
3674,Rgs18,,,Polr3d,,,,,
3675,Rgs2,,,Polr3e,,,,,
3676,Rhbdd1,,,Polr3f,,,,,
3677,Rhbdf2,,,Pom121l2,,,,,
3678,Rheb,,,Pomgnt2,,,,,
3679,Rhob,,,Pomk,,,,,
3680,Rhobtb2,,,Pop4,,,,,
3681,Rhoc,,,Pop5,,,,,
3682,Rhof,,,Popdc2,,,,,
3683,Rhoh,,,Popdc3,,,,,
3684,Rhot2,,,Porcn,,,,,
3685,Rhou,,,Pot1b,,,,,
3686,Rhox5,,,Pou3f1,,,,,
3687,Rida,,,Pou3f3,,,,,
3688,Rin3,,,Pou6f2,,,,,
3689,Ring1,,,Ppara,,,,,
3690,Rinl,,,Ppfia1,,,,,
3691,Ripk2,,,Pphln1,,,,,
3692,Ripk4,,,Ppib,,,,,
3693,Rlim,,,Ppil1,,,,,
3694,Rln3,,,Ppil4,,,,,
3695,Rmdn1,,,Ppip5k2,,,,,
3696,Rmi1,,,Ppm1e,,,,,
3697,Rmnd5b,,,Ppme1,,,,,
3698,Rn5-8s,,,Ppp1r10,,,,,
3699,Rn50_10_0291.1,,,Ppp1r12c,,,,,
3700,Rn50_10_0627.1,,,Ppp1r14a,,,,,
3701,Rn50_10_0635.1,,,Ppp1r14c,,,,,
3702,Rn50_10_0698.6,,,Ppp1r14d,,,,,
3703,Rn50_10_0700.3,,,Ppp1r21,,,,,
3704,Rn50_10_0700.4,,,Ppp1r3a,,,,,
3705,Rn50_10_0702.2,,,Ppp1r3d,,,,,
3706,Rn50_10_0873.4,,,Ppp1r3g,,,,,
3707,Rn50_10_0892.1,,,Ppp1r42,,,,,
3708,Rn50_11_0375.5,,,Ppp1r8,,,,,
3709,Rn50_11_0375.7,,,Ppp2cb,,,,,
3710,Rn50_12_0134.7,,,Ppp2r2b,,,,,
3711,Rn50_13_0836.2,,,Ppp2r3a,,,,,
3712,Rn50_13_0839.5,,,Ppp2r3b,,,,,
3713,Rn50_13_0847.2,,,Ppp2r5d,,,,,
3714,Rn50_13_0873.1,,,Ppp3cc,,,,,
3715,Rn50_15_0083.1,,,Ppp4r1,,,,,
3716,Rn50_15_0408.6,,,Ppt2,,,,,
3717,Rn50_17_0381.1,,,Pptc7,,,,,
3718,Rn50_18_0532.1,,,Ppwd1,,,,,
3719,Rn50_1_0430.2,,,Prag1,,,,,
3720,Rn50_1_0435.2,,,Pram1,,,,,
3721,Rn50_1_0913.2,,,Pramef8,,,,,
3722,Rn50_1_1141.1,,,Pramel,,,,,
3723,Rn50_1_1361.1,,,Prdx4,,,,,
3724,Rn50_1_1368.1,,,Prdx5,,,,,
3725,Rn50_20_0041.3,,,Prelid3a,,,,,
3726,Rn50_20_0046.5,,,Prep,,,,,
3727,Rn50_20_0046.8,,,Prex2,,,,,
3728,Rn50_20_0048.4,,,Prf1,,,,,
3729,Rn50_20_0055.3,,,Prg2,,,,,
3730,Rn50_20_0060.5,,,Prg4,,,,,
3731,Rn50_20_0064.3,,,Prickle2,,,,,
3732,Rn50_20_0141.1,,,Prim1,,,,,
3733,Rn50_2_0094.1,,,Prkab2,,,,,
3734,Rn50_2_1398.1,,,Prkag2,,,,,
3735,Rn50_2_1408.1,,,Prkag3,,,,,
3736,Rn50_2_2279.2,,,Prkch,,,,,
3737,Rn50_2_2279.4,,,Prkcq,,,,,
3738,Rn50_3_1464.1,,,Prkcsh,,,,,
3739,Rn50_4_2149.1,,,Prkdc,,,,,
3740,Rn50_5_0814.19,,,Prkx,,,,,
3741,Rn50_5_0814.26,,,Prlh,,,,,
3742,Rn50_5_0814.31,,,Prlr,,,,,
3743,Rn50_5_0814.8,,,Prmt8,,,,,
3744,Rn50_5_0825.2,,,Prmt9,,,,,
3745,Rn50_5_1073.1,,,Prodh2,,,,,
3746,Rn50_6_0565.1,,,Prorsd1,,,,,
3747,Rn50_6_0964.4,,,Pros1,,,,,
3748,Rn50_6_1087.2,,,Proser3,,,,,
3749,Rn50_6_1120.1,,,Prox1,,,,,
3750,Rn50_6_1120.2,,,Prpf31,,,,,
3751,Rn50_6_1181.1,,,Prpf40b,,,,,
3752,Rn50_7_1164.3,,,Prpf4b,,,,,
3753,Rn50_8_0102.1,,,Prph,,,,,
3754,Rn50_8_0402.2,,,Prr7,,,,,
3755,Rn50_8_0587.1,,,Prrg1,,,,,
3756,Rn50_8_0909.1,,,Prrg3,,,,,
3757,Rn50_9_0428.1,,,Prrt1,,,,,
3758,Rn50_9_0975.2,,,Prrt3,,,,,
3759,Rn50_X_0559.1,,,Prrt4,,,,,
3760,Rn50_X_0586.1,,,Prrx2,,,,,
3761,Rn50_X_0616.1,,,Prss12,,,,,
3762,Rn50_X_0635.2,,,Prss22,,,,,
3763,Rn50_X_0636.2,,,Prss35,,,,,
3764,Rn50_X_0641.3,,,Prss36,,,,,
3765,Rn50_X_0646.2,,,Prss44,,,,,
3766,Rn50_X_0655.1,,,Prss46,,,,,
3767,Rn50_X_0660.5,,,Prss53,,,,,
3768,Rn50_X_0691.2,,,Prss55,,,,,
3769,Rn50_X_0693.1,,,Prtn3,,,,,
3770,Rn50_X_0699.2,,,Prune,,,,,
3771,Rn50_X_0713.4,,,Psd2,,,,,
3772,Rn50_X_0740.1,,,Psen1,,,,,
3773,Rn50_X_0746.1,,,Pskh1,,,,,
3774,Rn50_X_0746.3,,,Psma8,,,,,
3775,Rn50_X_0746.4,,,Psmc1,,,,,
3776,Rn50_X_0748.1,,,Psmc2,,,,,
3777,Rn50_X_0749.1,,,Psmc3,,,,,
3778,Rn50_X_0750.2,,,Psmc4,,,,,
3779,Rn60_10_0623.1,,,Psmd2,,,,,
3780,Rn60_10_0648.2,,,Psmd4,,,,,
3781,Rn60_10_0910.5,,,Psmd5,,,,,
3782,Rn60_11_0620.2,,,Psmd8,,,,,
3783,Rn60_11_0630.1,,,Psmd9,,,,,
3784,Rn60_12_0108.1,,,Psmg3,,,,,
3785,Rn60_12_0122.1,,,Pspn,,,,,
3786,Rn60_12_0129.1,,,Ptcd1,,,,,
3787,Rn60_13_0704.1,,,Ptdss2,,,,,
3788,Rn60_13_0728.2,,,Pter,,,,,
3789,Rn60_14_0091.1,,,Ptgdr,,,,,
3790,Rn60_14_0093.1,,,Ptgdrl,,,,,
3791,Rn60_14_0094.2,,,Ptger1,,,,,
3792,Rn60_14_0788.1,,,Ptges2,,,,,
3793,Rn60_15_1042.4,,,Ptgfr,,,,,
3794,Rn60_16_0397.1,,,Ptgr1,,,,,
3795,Rn60_16_0690.2,,,Pth2,,,,,
3796,Rn60_16_0816.2,,,Pth2r,,,,,
3797,Rn60_17_0157.2,,,Ptk2,,,,,
3798,Rn60_17_0348.1,,,Ptpmt1,,,,,
3799,Rn60_17_0355.2,,,Ptpn1,,,,,
3800,Rn60_17_0763.1,,,Ptpn13,,,,,
3801,Rn60_19_0563.2,,,Ptpn20,,,,,
3802,Rn60_1_0253.2,,,Ptpn22,,,,,
3803,Rn60_1_1135.1,,,Ptpn3,,,,,
3804,Rn60_1_1138.1,,,Ptprg,,,,,
3805,Rn60_1_1877.1,,,Ptprh,,,,,
3806,Rn60_1_2172.1,,,Ptprk,,,,,
3807,Rn60_1_2212.3,,,Ptpru,,,,,
3808,Rn60_1_2216.1,,,Ptprz1,,,,,
3809,Rn60_20_0028.1,,,Ptrh1,,,,,
3810,Rn60_20_0029.5,,,Ptrh2,,,,,
3811,Rn60_20_0047.3,,,Ptx4,,,,,
3812,Rn60_20_0050.1,,,Pum3,,,,,
3813,Rn60_2_0037.2,,,Purb,,,,,
3814,Rn60_2_1845.2,,,Purg,,,,,
3815,Rn60_4_0170.1,,,Pus1,,,,,
3816,Rn60_6_0647.1,,,Pusl1,,,,,
3817,Rn60_7_0127.2,,,Pvt1,,,,,
3818,Rn60_7_1085.1,,,Pwp2,,,,,
3819,Rn60_7_1214.2,,,Pwwp2b,,,,,
3820,Rn60_8_0596.8,,,Pxdc1,,,,,
3821,Rn60_9_0081.1,,,Pxdn,,,,,
3822,Rn60_9_0652.3,,,Pxmp4,,,,,
3823,Rn60_X_0110.2,,,Pxn,,,,,
3824,Rn60_X_0201.2,,,Pxylp1,,,,,
3825,Rn60_X_0201.3,,,Pygb,,,,,
3826,Rn60_X_0634.2,,,Pzp,,,,,
3827,Rn60_X_0773.3,,,Qars,,,,,
3828,Rn60_X_0775.3,,,Qpctl,,,,,
3829,Rn60_X_0775.4,,,Qprt,,,,,
3830,Rn60_X_0777.4,,,Qrfpr,,,,,
3831,Rn60_X_1085.1,,,R3hcc1,,,,,
3832,Rn60_Y_0004.6,,,RGD1304728,,,,,
3833,Rnaseh2b,,,RGD1304770,,,,,
3834,Rnaseh2c,,,RGD1304884,,,,,
3835,Rnasek,,,RGD1306441,,,,,
3836,Rnasel,,,RGD1306626,,,,,
3837,Rnf111,,,RGD1306941,,,,,
3838,Rnf125,,,RGD1307182,,,,,
3839,Rnf126,,,RGD1307752,,,,,
3840,Rnf130,,,RGD1308134,,,,,
3841,Rnf138,,,RGD1308564,,,,,
3842,Rnf139,,,RGD1308601,,,,,
3843,Rnf144a,,,RGD1308775,,,,,
3844,Rnf145,,,RGD1309079,,,,,
3845,Rnf151,,,RGD1309621,,,,,
3846,Rnf168,,,RGD1309779,,,,,
3847,Rnf180,,,RGD1309821,,,,,
3848,Rnf181,,,RGD1309870,,,,,
3849,Rnf19a,,,RGD1310335,,,,,
3850,Rnf2,,,RGD1310429,,,,,
3851,Rnf208,,,RGD1311084,,,,,
3852,Rnf215,,,RGD1311251,,,,,
3853,Rnf219,,,RGD1311447,,,,,
3854,Rnf220,,,RGD1311517,,,,,
3855,Rnf225,,,RGD1311745,,,,,
3856,Rnf31,,,RGD1311946,,,,,
3857,Rnf38,,,RGD1359108,,,,,
3858,Rnf44,,,RGD1359449,,,,,
3859,Rnf6,,,RGD1359508,,,,,
3860,Rnf7,,,RGD1359634,,,,,
3861,Rngtt,,,RGD1559441,,,,,
3862,Rnls,,,RGD1559534,,,,,
3863,Rnpep,,,RGD1559588,,,,,
3864,Rnpepl1,,,RGD1559629,,,,,
3865,Rock2,,,RGD1559904,,,,,
3866,Rom1,,,RGD1559951,,,,,
3867,Rpa3,,,RGD1560065,,,,,
3868,Rpap1,,,RGD1560069,,,,,
3869,Rpap3,,,RGD1560203,,,,,
3870,Rpl10,,,RGD1560212,,,,,
3871,Rpl10a,,,RGD1560289,,,,,
3872,Rpl11,,,RGD1560436,,,,,
3873,Rpl12-ps1,,,RGD1560455,,,,,
3874,Rpl13a,,,RGD1560492,,,,,
3875,Rpl14,,,RGD1560513,,,,,
3876,Rpl15,,,RGD1560730,,,,,
3877,Rpl17,,,RGD1560854,,,,,
3878,Rpl18,,,RGD1560883,,,,,
3879,Rpl18a,,,RGD1561102,,,,,
3880,Rpl19,,,RGD1561113,,,,,
3881,Rpl21,,,RGD1561195,,,,,
3882,Rpl22l1,,,RGD1561206,,,,,
3883,Rpl22l2,,,RGD1561277,,,,,
3884,Rpl23,,,RGD1561282,,,,,
3885,Rpl23a,,,RGD1561317,,,,,
3886,Rpl26,,,RGD1561327,,,,,
3887,Rpl26-ps2,,,RGD1561410,,,,,
3888,Rpl27,,,RGD1561415,,,,,
3889,Rpl27a,,,RGD1561444,,,,,
3890,Rpl28,,,RGD1561520,,,,,
3891,Rpl29,,,RGD1561551,,,,,
3892,Rpl30,,,RGD1561648,,,,,
3893,Rpl31,,,RGD1561777,,,,,
3894,Rpl31l4,,,RGD1561870,,,,,
3895,Rpl32,,,RGD1561916,,,,,
3896,Rpl34,,,RGD1561958,,,,,
3897,Rpl34-ps1,,,RGD1562229,,,,,
3898,Rpl35,,,RGD1562310,,,,,
3899,Rpl35a,,,RGD1562339,,,,,
3900,Rpl35al1,,,RGD1562660,,,,,
3901,Rpl36,,,RGD1562667,,,,,
3902,Rpl36a,,,RGD1562747,,,,,
3903,Rpl36al,,,RGD1562758,,,,,
3904,Rpl37,,,RGD1562871,,,,,
3905,Rpl37-ps1,,,RGD1563091,,,,,
3906,Rpl37a,,,RGD1563145,,,,,
3907,Rpl38,,,RGD1563334,,,,,
3908,Rpl39,,,RGD1563354,,,,,
3909,Rpl4,,,RGD1563425,,,,,
3910,Rpl41,,,RGD1563441,,,,,
3911,Rpl5,,,RGD1563482,,,,,
3912,Rpl5l1,,,RGD1563601,,,,,
3913,Rpl6,,,RGD1563606,,,,,
3914,Rpl7,,,RGD1563680,,,,,
3915,Rpl7a,,,RGD1564171,,,,,
3916,Rpl7l1,,,RGD1564405,,,,,
3917,Rpl8,,,RGD1564447,,,,,
3918,Rplp0,,,RGD1564548,,,,,
3919,Rplp1,,,RGD1564887,,,,,
3920,Rplp2,,,RGD1565033,,,,,
3921,Rpp14,,,RGD1565059,,,,,
3922,Rpp25l,,,RGD1565117,,,,,
3923,Rpp30,,,RGD1565222,,,,,
3924,Rps10,,,RGD1565323,,,,,
3925,Rps10l1,,,RGD1565459,,,,,
3926,Rps11,,,RGD1565616,,,,,
3927,Rps14,,,RGD1565622,,,,,
3928,Rps15,,,RGD1565844,,,,,
3929,Rps15a,,,RGD1565989,,,,,
3930,Rps15al2,,,RGD1566029,,,,,
3931,Rps15al4,,,RGD1566265,,,,,
3932,Rps16,,,RGD1566325,,,,,
3933,Rps17,,,RGD1566359,,,,,
3934,Rps18l1,,,RGD1566373,,,,,
3935,Rps19l1,,,RGD621098,,,,,
3936,Rps2,,,RNase_MRP,,,,,
3937,Rps20,,,RT1-CE7,,,,,
3938,Rps21,,,RT1-DOa,,,,,
3939,Rps21-ps1,,,RT1-N2,,,,,
3940,Rps23,,,RT1-T24-2,,,,,
3941,Rps24,,,RT1-T24-3,,,,,
3942,Rps25,,,RT1-T24-4,,,,,
3943,Rps27,,,Rab11fip1,,,,,
3944,Rps27a,,,Rab11fip2,,,,,
3945,Rps27a-ps5,,,Rab18,,,,,
3946,Rps27l,,,Rab23,,,,,
3947,Rps29,,,Rab27b,,,,,
3948,Rps3,,,Rab28,,,,,
3949,Rps3a,,,Rab2a,,,,,
3950,Rps4x,,,Rab33a,,,,,
3951,Rps5,,,Rab33b,,,,,
3952,Rps6,,,Rab34,,,,,
3953,Rps6ka1,,,Rab36,,,,,
3954,Rps6kb2,,,Rab38,,,,,
3955,Rps7,,,Rab3b,,,,,
3956,Rps8,,,Rab3il1,,,,,
3957,Rpsa,,,Rab4a,,,,,
3958,Rpusd1,,,Rab7b,,,,,
3959,Rpusd2,,,Rab9a,,,,,
3960,Rpusd3,,,Rabgap1l,,,,,
3961,Rraga,,,Rabl3,,,,,
3962,Rragc,,,Rabl6,,,,,
3963,Rragd,,,Rad18,,,,,
3964,Rras,,,Rad23a,,,,,
3965,Rras2,,,Rad50,,,,,
3966,Rreb1,,,Rad51c,,,,,
3967,Rrp1,,,Rad54b,,,,,
3968,Rrp15,,,Raet1d,,,,,
3969,Rrp36,,,Raet1l,,,,,
3970,Rrp7a,,,Raf1,,,,,
3971,Rrs1,,,Rai2,,,,,
3972,Rsl1,,,Ranbp6,,,,,
3973,Rsl1d1,,,Rap2a,,,,,
3974,Rsl1d1l1,,,Rapgef3,,,,,
3975,Rsl24d1,,,Rapgef4,,,,,
3976,Rspo2,,,Rarb,,,,,
3977,Rspo4,,,Rarres2,,,,,
3978,Rsrc2,,,Rasa1,,,,,
3979,Rtcb,,,Rasa4,,,,,
