,¨K¨K,¨K¨J,¨K¡ú,¨J¨K,¨J¨J,¨J¡ú,¡ú¨K,¡ú¨J,¡ú¡ú 
73,AABR07012583.1,AABR07027809.2,AABR07016310.1,AABR07008255.1,AABR07053509.1,Cep83,AABR07052085.1,AABR07031489.1,Foxj3
74,AABR07012795.1,AABR07027811.3,AABR07016556.1,AABR07008293.3,AABR07054490.1,Cflar,AABR07052529.1,AABR07031674.1,Gemin7
75,AABR07012868.1,AABR07027854.1,AABR07016558.1,AABR07008420.1,AABR07055801.1,Chd1,AABR07052611.1,AABR07032496.1,Gja1
76,AABR07013085.1,AABR07028113.1,AABR07016578.2,AABR07008505.1,AABR07055826.1,Chd2,AABR07053509.2,AABR07032786.1,Glg1
77,AABR07013200.1,AABR07028414.1,AABR07016640.1,AABR07008670.1,AABR07055919.1,Chmp2b,AABR07055878.1,AABR07032888.1,Gmpr2
78,AABR07013425.1,AABR07028779.1,AABR07017113.1,AABR07008805.1,AABR07057161.1,Chsy3,AABR07056013.1,AABR07033249.1,Gnpnat1
79,AABR07013583.1,AABR07029262.1,AABR07017208.2,AABR07008940.1,AABR07057233.2,Ckap4,AABR07056817.1,AABR07033270.1,Gxylt1
80,AABR07013802.1,AABR07029417.1,AABR07017236.1,AABR07009221.1,AABR07057415.2,Clec11a,AABR07058699.2,AABR07033271.1,Haus5
81,AABR07014550.1,AABR07029467.2,AABR07017604.1,AABR07009373.1,AABR07057586.2,Clstn1,AABR07059072.1,AABR07033292.1,Hdlbp
82,AABR07014638.1,AABR07029526.1,AABR07017814.1,AABR07009787.1,AABR07057798.1,Cnpy4,AABR07060519.1,AABR07033836.1,Hgf
83,AABR07015002.1,AABR07029573.1,AABR07017874.1,AABR07009834.1,AABR07058886.1,Cog4,AABR07060577.1,AABR07034239.1,Hira
84,AABR07015040.1,AABR07030425.1,AABR07018064.1,AABR07010085.1,AABR07060293.1,Col11a1,AABR07061254.1,AABR07034636.1,Hist1h1a
85,AABR07015294.1,AABR07030529.1,AABR07018124.1,AABR07010332.1,AABR07060560.3,Col11a2,AABR07061614.2,AABR07034940.2,Hmgb1-ps3
86,AABR07015517.2,AABR07030911.1,AABR07018318.1,AABR07010460.1,AABR07060628.1,Col6a3,AABR07061825.1,AABR07035005.1,Hmgxb3
87,AABR07015674.1,AABR07030921.1,AABR07019086.1,AABR07010468.1,AABR07060872.1,Col9a2,AABR07062512.1,AABR07035008.3,Hnrnpdl
88,AABR07015889.1,AABR07031234.1,AABR07019102.1,AABR07010592.2,AABR07061614.1,Copz2,AABR07063126.1,AABR07035428.2,Ifitm2
89,AABR07015941.1,AABR07031738.1,AABR07021220.1,AABR07010609.1,AABR07062477.2,Cox4i2,AABR07063703.1,AABR07035780.6,Igf2
90,AABR07015941.2,AABR07031740.1,AABR07021419.1,AABR07010985.1,AABR07062539.2,Cox6b2,AABR07066416.1,AABR07035782.1,Igfbp4
91,AABR07016966.1,AABR07031937.1,AABR07021508.1,AABR07011084.2,AABR07063424.1,Cpa2,AABR07066435.1,AABR07037528.1,Il17ra
92,AABR07017145.1,AABR07031947.1,AABR07021972.1,AABR07011152.1,AABR07063740.2,Cpq,AABR07066516.1,AABR07038019.1,Il6st
93,AABR07017716.1,AABR07032439.1,AABR07022113.1,AABR07011700.1,AABR07064304.1,Cpsf2,AABR07067233.1,AABR07038349.1,Ilvbl
94,AABR07017902.1,AABR07033524.1,AABR07022134.1,AABR07011996.1,AABR07064716.1,Creb3l2,AABR07067441.3,AABR07039202.1,Impad1
95,AABR07019083.1,AABR07033987.1,AABR07022162.1,AABR07012012.1,AABR07064840.1,Crebzf,AABR07068590.1,AABR07039936.1,Isca1
96,AABR07019870.1,AABR07034131.1,AABR07024500.1,AABR07012030.1,AABR07065124.1,Ctdspl,AABR07068638.1,AABR07040959.1,Itfg1
97,AABR07021080.1,AABR07034673.1,AABR07025023.1,AABR07012039.1,AABR07065387.1,Ctu1,AABR07069008.3,AABR07041179.1,Itgb1bp1
98,AABR07021086.1,AABR07035541.3,AABR07025272.1,AABR07012065.1,AABR07065530.1,Cwc22,AABR07070043.1,AABR07041481.1,Ivd
99,AABR07021384.1,AABR07035717.1,AABR07025299.1,AABR07012475.2,AABR07066144.1,Cxcl14,AABR07070085.1,AABR07042668.1,Jak2
100,AABR07021494.1,AABR07035780.3,AABR07025387.1,AABR07012775.1,AABR07066339.1,Cyp27b1,AABR07071000.1,AABR07042840.1,Kdm3b
101,AABR07021734.1,AABR07035802.1,AABR07025673.1,AABR07013123.1,AABR07066792.1,Cyp4f6,AABR07072602.1,AABR07042999.1,Klhdc2
102,AABR07021759.1,AABR07035955.1,AABR07026021.1,AABR07013140.1,AABR07066818.1,Cyth2,AABR07073038.2,AABR07043169.1,Kmt2e
