,T1,T2,T3
AABR07065274.1,5.204213216,7.81723416,3.946204319
AABR07065291.1,0,0,16.61141471
AABR07065352.1,0,30.03578728,0
AABR07065387.1,0,0.12698938,0.612511424
AABR07065406.1,2661.326659,1473.656712,1144.07247
AABR07065406.2,77.3137382,352.6651331,178.2186614
AABR07065420.1,253.7263634,205.4683789,128.9209634
AABR07065429.2,65.82810864,0,0
AABR07065448.1,61.34420284,38.48341437,54.90528973
AABR07065485.1,2.809549911,27.18291845,23.17200749
AABR07065530.1,0,4.359808635,80.66087024
AABR07065531.1,968.0298598,510.7866723,0
AABR07065531.5,1090.769261,929.4602178,711.76546
AABR07065532.2,279.4620863,148.6953159,0
AABR07065590.1,0.988716519,0,0
AABR07065593.1,0,0,12.83190397
AABR07065598.1,155.8405522,97.03092683,48.04422851
AABR07065602.2,0,0.125763487,0
AABR07065619.1,480.2376188,0.000288641,0
AABR07065640.1,0,0,0.377280831
AABR07065645.2,0,0,2.270162417
AABR07065651.4,0,0,0.377280831
AABR07065656.2,0,0,0.377280831
AABR07065705.5,0,0,0.332213393
AABR07065750.2,1.033331682,0,0
AABR07065772.3,0.662661515,0,0
AABR07065776.1,42.57044789,58.27005471,17.21719337
AABR07065970.1,9.077960277,3.861917037,13.7660067
AABR07066020.1,114.2654552,163.8047177,19.83947525
AABR07066114.1,302.7562375,0,0
AABR07066144.1,49.65651276,56.60787109,84.27992262
AABR07066201.1,0,0,0.595229528
AABR07066339.1,1.382265913,1.980846878,2.64719079
AABR07066416.1,71.39145504,73.59985054,11.91931427
AABR07066435.1,23.1799607,23.75122755,3.498594678
AABR07066470.1,0.142698852,0,0.544153508
AABR07066510.1,304.3997032,159.1255462,24.42075483
AABR07066516.1,5993.173274,6194.386801,4992.552246
AABR07066529.1,10.18418046,0,0
AABR07066529.3,448.9208419,311.9396152,189.4820218
AABR07066567.1,11.11020155,7.620468427,6.710247089
AABR07066677.1,32.99206245,40.34926247,16.41368601
AABR07066693.1,391.6567721,341.2995732,105.9223708
AABR07066782.1,0,0,17.12482408
AABR07066792.1,0.620419391,6.78091854,16.68082836
AABR07066818.1,495.0943919,955.8814733,1941.660562
AABR07066820.1,0,0,1.727678165
AABR07066826.1,60.0518795,12.78974862,0.748210048
AABR07066861.1,0,4.814584142,0
AABR07066871.3,0,2.328965572,1.307090545
AABR07067023.1,0.384564245,0,0
AABR07067036.1,0,0,0.55666903
AABR07067042.3,0,0,0.991552494
AABR07067080.1,3.631823749,14.69661395,0.786858251
AABR07067082.1,4.958180104,7.065360485,7.110042172
AABR07067233.1,2.201814994,2.194226858,1.349894468
AABR07067246.1,5.129042331,2.381494826,3.513297077
AABR07067267.1,3722.001747,3069.352268,2364.848268
AABR07067300.1,0,7.627743329,0
AABR07067310.1,0,26.31289294,0
AABR07067339.1,12.54880765,14.06820874,9.845346535
AABR07067387.1,1.406775293,0,0
AABR07067388.1,219.5278658,166.6383202,77.14191827
AABR07067402.1,0,0,31.00958357
AABR07067403.1,0,264.4599619,0
AABR07067404.1,0,127.0774975,65.90417416
AABR07067404.2,0.745304915,4.274131341,1.439521969
AABR07067441.3,738.3699113,664.6563519,491.7728419
AABR07067499.1,0,48.12539854,20.19570576
AABR07067506.1,2039.335545,1823.227253,2599.772544
AABR07067526.1,826.4805351,713.780965,743.1454879
AABR07067556.1,700.1660515,533.3744148,121.5684969
AABR07067583.1,1632.46381,1093.173375,981.6626202
AABR07067600.1,1724.413357,2215.685927,1161.906563
AABR07067649.1,5.986798444,6.693705149,9.755048545
AABR07067736.1,697.9505775,289.3732254,519.2704694
AABR07067749.1,106.0840771,74.84335281,44.70239138
AABR07067759.1,78.61079125,147.1542609,32.04178016
AABR07067762.1,0,7.866882815,0
AABR07067829.1,16918.47839,14885.75344,9409.908988
AABR07068007.2,0,16.51989795,0
AABR07068018.1,1.53190341,2.524120559,2.374863218
AABR07068030.1,235.416526,185.0537742,152.0469277
AABR07068042.1,0,4.656421588,0
AABR07068084.1,16.83821862,12.66118747,5.825076946
AABR07068094.2,0,0,2.297907795
AABR07068127.1,2036.533048,3365.530411,2681.127259
AABR07068198.2,0,17.94786472,0
AABR07068214.1,169.3342528,115.2570352,2.12336015
AABR07068221.1,26.63358905,36.92032942,18.21121307
AABR07068253.1,322.4736015,395.1314011,181.0018934
AABR07068285.1,14.28576201,12.649009,6.502712694
AABR07068306.1,0,230.6937549,0
AABR07068327.1,115.9866633,99.50015096,30.03770394
AABR07068341.1,296.7813807,253.1359289,184.1569272
AABR07068447.1,0,0,0.199027873
AABR07068587.1,197.2535829,237.8773344,207.6203909
AABR07068590.1,31.8807537,32.31625129,0
AABR07068614.1,0,12.00329697,0
AABR07068638.1,87.29783119,95.83814484,36.51616592
AABR07068657.1,0,6.964151347,0
AABR07068674.1,0,0,0.182774661
AABR07068694.1,4.289929732,7.136441527,46.57998697
AABR07068760.1,19.89062108,13.3108061,4.589559879
AABR07068852.1,285.0832746,78.07011476,171.7421379
AABR07068955.1,13770.17628,12034.4428,11222.635
AABR07068975.1,86.4485272,194.8123331,9.292941422
AABR07068980.1,84.93053969,196.2761137,9.292941422
AABR07069008.1,8.6654316,35.01510054,18.93680846
AABR07069008.2,1.997914881,4.323673,0.415723706
AABR07069008.3,39.97431711,42.09201577,23.6221204
AABR07069218.2,2.760487501,27.47529552,0
AABR07069227.1,228.5183913,121.07802,72.65600715
AABR07069235.1,80.83781905,0,0
AABR07069282.1,94.82153011,110.9288899,118.882907
AABR07069336.1,1.874463926,0,1.4755751
AABR07069352.1,0,0,0.203455724
AABR07069454.1,74.00307312,5.011556403,2.855922722
AABR07069473.1,44.86866731,77.12481379,39.52259581
AABR07069490.1,2566.910565,2220.804394,1627.26645
AABR07069524.1,2.876349262,2.211864618,1.670936595
AABR07069587.1,166.9960094,117.783041,56.27700378
AABR07069611.1,0.592594303,0.657451736,3.294638956
AABR07069728.1,0.240507211,0,0
AABR07069816.1,1.069587064,125.5678471,0.283759493
AABR07069821.1,4.429578133,1433.805329,1.73333224
AABR07069837.1,7.11592136,4.048014684,1.882537367
AABR07069840.1,0.427640752,20521.58366,0.829397421
AABR07069913.1,1.232717395,0.873788622,0.097852058
AABR07069987.1,0,32.18941618,0
AABR07070043.1,8773.736761,8626.71514,5506.530864
AABR07070046.1,3.126697832,1.661401466,5.188359064
AABR07070069.1,0.547276544,0,0
AABR07070078.1,0,7.527303069,1.092597161
AABR07070085.1,12.9381079,14.03787494,0
AABR07070131.1,21.15772111,25.93653144,9.249817829
AABR07070238.1,1654.721596,902.7084864,1818.143608
AABR07070238.2,72.80460153,175.0628482,38.54126663
AABR07070238.3,15.21716798,0,0
AABR07070270.1,683.0187073,905.915012,556.6007164
AABR07070277.1,169.3454263,0,0
AABR07070416.3,0,3.574861569,0
AABR07070441.1,58.15476887,1.328278807,291.9308134
AABR07070486.1,0,0,22.65673665
AABR07070518.1,221.1323446,0.152476005,2.840823603
AABR07070555.1,0,13.5217824,0
AABR07070559.1,0,491.2167027,0
AABR07070599.1,2298.708356,1975.483146,1538.025348
AABR07070603.1,501.9470645,351.85457,98.91937656
AABR07070635.1,0,0,1.232317081
AABR07070679.1,10.68171383,12.37568469,13.0559383
AABR07070704.1,16.41290222,13.26062413,2.478674268
AABR07070796.1,1.021143307,1.737449115,0
AABR07070802.1,0,16.42018427,0
AABR07070858.1,2.287236034,1.772978438,1.715233954
AABR07070892.1,5.422107296,2.227664367,3.917120831
AABR07070926.1,5.136994155,4.858037809,5.111550362
AABR07071000.1,10305.80302,9773.033747,8182.844528
AABR07071101.1,0,0,1.1061135
AABR07071161.1,2.267293098,2.834347722,4.004740145
AABR07071198.1,2.111800648,0,0
AABR07071199.1,1.790899682,0,0
AABR07071208.2,22.62752172,0,17.50300941
AABR07071228.1,1.480847378,7.394584009,0
AABR07071332.1,0,0,0.910117581
AABR07071374.1,0,0.249969311,0
AABR07071395.1,0,1.332055601,2.338909677
AABR07071402.1,0,0,1.658526809
AABR07071482.1,19.75172648,31.19242534,369.2585219
AABR07071487.1,5.54842613,0,0.283907853
AABR07071567.1,0,0,92.43419412
AABR07071589.1,8.313292465,0,0
AABR07071622.1,0,0,5.048764554
AABR07071659.2,0,12.21084608,3.905749567
AABR07071661.1,23.64385599,0,1.385823009
